Title,Note,URL,Tags,Comment
Circo's Pastry Shop,,https://www.google.com/maps/place/Circo's+Pastry+Shop/data=!4m2!3m1!1s0x89c25c1b5ad5141b:0xe8a90b811052d673,,
Il Bel Paese Pizzeria & Trattoria,,https://www.google.com/maps/place/Il+Bel+Paese+Pizzeria+%26+Trattoria/data=!4m2!3m1!1s0x89c25d9132e6b367:0x77f569d0f7e1ad33,,
Pitanga,,https://www.google.com/maps/place/Pitanga/data=!4m2!3m1!1s0x89c25c1d257b1f41:0x48bb201cafe9c643,,
Nana's House Kitchen & Bar,,https://www.google.com/maps/place/Nana's+House+Kitchen+%26+Bar/data=!4m2!3m1!1s0x89c25dcb9ea1c955:0xb6aec885b84b0f07,,
Mominette Bistro,,https://www.google.com/maps/place/Mominette+Bistro/data=!4m2!3m1!1s0x89c25c0368fbe177:0x18cbc7c1188adc73,,
A-un Brooklyn,,https://www.google.com/maps/place/A-un+Brooklyn/data=!4m2!3m1!1s0x89c25d640cfbe617:0xa9a42870d9a4ce43,,
T.O.L.K.,,https://www.google.com/maps/place/T.O.L.K./data=!4m2!3m1!1s0x89c25d9b5fe3bdc9:0xea4f34f8bd3838ca,,
Werkshop Coffee Co.,,https://www.google.com/maps/place/Werkshop+Coffee+Co./data=!4m2!3m1!1s0x89c25d381844d807:0x42d10cb85bf4aef2,,
Book Club Bar,,https://www.google.com/maps/place/Book+Club+Bar/data=!4m2!3m1!1s0x89c25d8f5b9f5467:0xd86ce6f22e2a2dd2,,
FUKUROU BROOKLYN,,https://www.google.com/maps/place/FUKUROU+BROOKLYN/data=!4m2!3m1!1s0x89c25dd5c2bf348b:0x3ad8f24e94ce7f2f,,
Nook,,https://www.google.com/maps/place/Nook/data=!4m2!3m1!1s0x89c25d3acd7b7ef5:0x56bfebe04aeed83d,,
Crossroads Cafe,,https://www.google.com/maps/place/Crossroads+Cafe/data=!4m2!3m1!1s0x89c25d00424bbc6b:0x4230bbf8f91eb834,,
Vinyl Fantasy,,https://www.google.com/maps/place/Vinyl+Fantasy/data=!4m2!3m1!1s0x89c25c0376e3df8f:0x93fb9aef51776572,,
Palmetto,,https://www.google.com/maps/place/Palmetto/data=!4m2!3m1!1s0x89c25d4d2f67d28f:0xa3d7f858ef901af,,
The Three Diamond Door,,https://www.google.com/maps/place/The+Three+Diamond+Door/data=!4m2!3m1!1s0x89c25c036c162621:0xd0cd6c1540118898,,
Don Rique's,,https://www.google.com/maps/place/Don+Rique's/data=!4m2!3m1!1s0x89c25d4f01ef59c3:0x2857bfe1bd662e29,,
Danger Danger,,https://www.google.com/maps/place/Danger+Danger/data=!4m2!3m1!1s0x89c25d0439ed01a1:0x7654ddc731b66748,,
Chowa Library,,https://www.google.com/maps/place/Chowa+Library/data=!4m2!3m1!1s0x89c25d460804f449:0x1e5d3319cce6ac47,,
WORM,,https://www.google.com/maps/place/WORM/data=!4m2!3m1!1s0x89c25d3e2c9c8587:0x7ce48f6e671212cc,,
"260 Sample Sale, NoMad",,"https://www.google.com/maps/place/260+Sample+Sale,+NoMad/data=!4m2!3m1!1s0x89c259a63b66ffeb:0x85f1cf2e6ed1fa24",,
Gladstone Gallery,,https://www.google.com/maps/place/Gladstone+Gallery/data=!4m2!3m1!1s0x89c259b78dbeff41:0xa9362776653b2ebe,,
Paula Cooper Gallery,,https://www.google.com/maps/place/Paula+Cooper+Gallery/data=!4m2!3m1!1s0x89c259c78ed442bd:0x6f2ece457630512e,,
Garth Greenan Gallery,,https://www.google.com/maps/place/Garth+Greenan+Gallery/data=!4m2!3m1!1s0x89c259c784109a09:0xbd41ed6524c41974,,
Urban Jungle,,https://www.google.com/maps/place/Urban+Jungle/data=!4m2!3m1!1s0x89c25c03d0200731:0xc716b18c26c0cda0,,
Le Point Value Thrift,,https://www.google.com/maps/place/Le+Point+Value+Thrift/data=!4m2!3m1!1s0x89c25c03c7b5ba29:0xfbce9e4ff805eeb9,,
L Train Vintage,,https://www.google.com/maps/place/L+Train+Vintage/data=!4m2!3m1!1s0x89c25c015fc40247:0xd93a24bf36def326,,
